bk,series,model,mounting,accessory,fmt,filename,path,rev,source,source_file,source_date,bytes,sha1,status,notes
ED1.5X28,ED,ED 1.5 x 28,FF,,PDF,ED-1.5x28.pdf,ED/ED-1.5x28.pdf,A,generated,generated from catalogue,2026-09-18,88804,,generated,
ED1.5X32,ED,ED 1.5 x 32,FF,,PDF,ED-1.5x32.pdf,ED/ED-1.5x32.pdf,A,generated,generated from catalogue,2026-09-18,88804,,generated,
ED1.5X4,ED,ED 1.5 x 4,FF,,PDF,ED-1.5x4.pdf,ED/ED-1.5x4.pdf,A,generated,generated from catalogue,2026-09-18,88740,,generated,
ED1.5X6,ED,ED 1.5 x 6,FF,,PDF,ED-1.5x6.pdf,ED/ED-1.5x6.pdf,A,generated,generated from catalogue,2026-09-18,88788,,generated,
ED1.5X8,ED,ED 1.5 x 8,FF,,PDF,ED-1.5x8.pdf,ED/ED-1.5x8.pdf,A,generated,generated from catalogue,2026-09-18,88788,,generated,
ED2.0X10,ED,ED 2.0 x 10,FF,,PDF,ED-2.0x10.pdf,ED/ED-2.0x10.pdf,A,generated,generated from catalogue,2026-09-18,88788,,generated,
ED2.0X12,ED,ED 2.0 x 12,FF,,PDF,ED-2.0x12.pdf,ED/ED-2.0x12.pdf,A,generated,generated from catalogue,2026-09-18,88820,,generated,
ED2.0X14,ED,ED 2.0 x 14,FF,,PDF,ED-2.0x14.pdf,ED/ED-2.0x14.pdf,A,generated,generated from catalogue,2026-09-18,88804,,generated,
ED2.0X16,ED,ED 2.0 x 16,FF,,PDF,ED-2.0x16.pdf,ED/ED-2.0x16.pdf,A,generated,generated from catalogue,2026-09-18,88804,,generated,
ED2.0X18,ED,ED 2.0 x 18,FF,,PDF,ED-2.0x18.pdf,ED/ED-2.0x18.pdf,A,generated,generated from catalogue,2026-09-18,88820,,generated,
ED2.0X20,ED,ED 2.0 x 20,FF,,PDF,ED-2.0x20.pdf,ED/ED-2.0x20.pdf,A,generated,generated from catalogue,2026-09-18,88820,,generated,
ED2.0X24,ED,ED 2.0 x 24,FF,,PDF,ED-2.0x24.pdf,ED/ED-2.0x24.pdf,A,generated,generated from catalogue,2026-09-18,88836,,generated,
ED2.0X28,ED,ED 2.0 x 28,FF,,PDF,ED-2.0x28.pdf,ED/ED-2.0x28.pdf,A,generated,generated from catalogue,2026-09-18,88804,,generated,
